symbol,totalBindingSites,log2FoldChange_dyna
KLHL17,7,4.353439183640264
B3GALT6,1,1.354738475188493
ATAD3B,1,0.24521952345747408
ATAD3A,1,0.06422349951369039
SKI,2,0.6987002875832599
CAMTA1,4,0.3186317318466348
SLC25A33,4,0.6037937143719306
PIK3CD,5,1.5283852639931708
UBE4B,4,1.238009493957333
TNFRSF1B,1,0.04500885052924685
VPS13D,5,0.9123204954775819
PRDM2,1,0.543038848479424
DNAJC16,10,1.3916442021188702
SPEN,11,0.9595222621111524
KDM1A,1,0.08565361857949008
ELOA,1,0.496130449453044
NIPAL3,2,0.2412297403970836
RCAN3,2,2.448156753507278
PDIK1L,1,0.23380295916440755
CEP85,1,0.8301017669044516
ARID1A,3,0.5951279706838736
ZDHHC18,2,1.1644972029756686
WDTC1,4,0.8533110856923495
STX12,1,0.2827640786827073
PHACTR4,11,0.034279534602009054
KHDRBS1,3,0.19285840917370267
KPNA6,4,0.1880478727582253
ZBTB8A,1,0.06403759598140313
ZMYM4,12,0.7920166530205297
AGO4,2,1.2281018907092827
AGO1,1,0.0970049103547188
AKIRIN1,2,2.3060859608174473
MACF1,6,0.9357995422136159
KDM4A,8,1.3291739699374003
ST3GAL3,8,0.8690941281561853
ATP6V0B,5,1.431564247554353
PLK3,1,3.006614348426264
CMPK1,5,0.3466416213907001
ZYG11A,6,3.110864565626611
CPT2,1,0.7142455740438691
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
MROH7-TTC4,2,2.536831210008031
ALG6,1,0.03896153394438074
SRSF11,2,0.5052158155297543
ACADM,1,0.31972790076950247
RABGGTB,2,1.4483002424889806
MIGA1,4,0.625396498904385
HS2ST1,5,0.29892004225314045
LMO4,3,0.8264956310821747
PKN2,2,1.090865144014002
LRRC8B,2,0.20948202742924096
LRRC8C,14,0.6185754898769378
LRRC8D,14,0.262279863536629
DR1,1,0.6511329074050842
ABCD3,1,0.14550369671062016
SLC35A3,7,0.9601055121325428
SLC35A3,7,0.9601055121325428
SLC35A3,7,0.9601055121325428
MFSD14A,8,0.5790905600617917
