UniqueCount	AmbigCount
2	13
0	6
15	83
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
1	2
0	0
0	1
0	0
0	0
0	2
0	0
0	3
1	0
0	0
3	1
0	0
0	5
0	0
0	0
0	0
0	6
9	147
2	23
0	47
5	37
16	31
0	1
0	14
0	9
0	0
0	0
0	0
0	0
0	2
0	2
0	0
0	0
0	0
0	0
1	0
0	0
1	0
0	2
0	0
1	4
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	6
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	0
0	1
0	0
6	1
0	0
0	0
0	0
5458	2327
239	7163
47822	79566
0	0
4	385
0	11
24552	12584
16	1306
0	0
0	0
0	0
20	24
0	0
0	0
0	0
0	2
1	2
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	5
0	2
0	2
0	0
0	2
1	4
0	0
0	0
3	1
0	1
2	0
0	1
0	0
154	17
0	3
0	5
0	6
1	7
0	7
5	23
0	6
0	2
0	3
0	0
1	0
0	1
19	0
1	5
0	2
0	3
0	0
0	0
1	0
12	5
0	0
6	1
0	0
0	1
0	0
0	0
0	3
0	0
0	3
0	3
0	0
0	3
0	0
0	0
0	0
0	3
0	3
0	0
0	3
0	0
0	0
0	112
102	352
12	304
0	0
0	105
2	2
9	0
0	1
0	1
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	14
0	4
12	14
0	0
0	0
4	17
0	17
0	0
0	0
0	1
0	0
0	0
0	0
0	2
0	5
0	1
1	6
0	2
0	6
0	0
0	5
1	1
0	0
0	0
3	85
1	85
0	105
3	107
0	64
0	88
0	84
0	6
1	37
0	37
0	39
0	39
0	12
0	6
1	1
0	6
0	3
0	3
0	2
0	0
0	0
0	0
0	0
0	0
2	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
52	830
0	656
1	734
13	287
0	204
0	185
0	99
281	0
0	0
0	0
0	0
0	0
0	0
1	0
3	292
0	299
2	316
4	185
2	178
0	151
2	135
0	22
0	125
0	93
0	15
1	17
0	24
0	16
0	19
0	1
0	0
0	7
0	16
2	0
0	0
0	0
0	5
0	4
0	3
0	3
0	0
0	3
0	0
0	0
3	111
1	102
0	66
0	66
0	0
0	4
0	13
0	0
1	16
0	9
0	2
0	3
0	0
0	0
10	16
4	4
2	0
0	8
0	8
1	86
0	184
0	182
0	135
0	71
0	201
0	26
0	154
0	135
4	101
0	39
1	116
0	184
1	137
0	115
0	145
0	160
0	38
0	15
0	8
1	125
0	23
1	23
0	25
0	4
0	19
0	41
0	0
0	4
0	53
3	20
0	25
0	41
0	32
1	30
0	0
0	0
0	19
0	49
0	39
3	25
1	20
0	13
0	8
0	5
0	3
0	1
0	0
0	0
0	0
0	0
0	0
3	38
163	50
1	12
0	0
1	288
8	289
0	179
0	17
0	32
3	15
3	8
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
15	455
102	429
