UniqueCount	AmbigCount
2	4
0	0
11	100
0	0
0	4
0	2
0	1
0	0
0	0
0	0
0	0
0	0
2	4
0	0
0	2
0	0
0	0
0	2
0	0
0	2
0	1
0	0
2	6
0	0
0	4
0	0
0	0
0	0
0	0
14	168
2	22
0	53
2	42
20	35
0	2
0	15
0	7
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	0
0	2
0	0
1	1
0	0
1	0
0	3
0	1
0	0
0	0
0	1
0	0
0	1
0	0
0	0
0	1
0	1
0	0
1	3
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	3
0	0
4	2
0	0
0	0
0	0
6527	2869
398	9770
54159	94432
0	0
3	478
0	8
27871	15023
24	1711
0	0
0	1
0	0
18	30
0	2
0	0
0	0
0	4
2	6
0	5
0	6
0	1
0	1
0	1
0	0
0	0
0	0
0	1
0	2
4	2
0	1
0	1
0	1
0	1
1	5
1	0
0	0
3	1
0	1
1	0
0	0
0	0
97	8
0	1
0	2
0	2
1	2
0	2
1	10
0	2
0	0
0	1
1	0
0	0
0	0
16	0
1	1
0	1
0	0
0	0
0	0
0	0
7	8
0	0
1	1
0	1
0	0
0	0
0	0
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	2
0	0
0	0
0	0
0	0
0	0
0	132
69	389
4	337
0	0
0	112
1	0
3	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	6
0	3
7	6
0	0
0	0
0	9
0	9
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
2	13
0	2
0	13
0	0
3	7
0	11
0	0
0	0
0	85
0	83
0	107
2	110
10	66
0	93
0	91
0	7
0	51
0	38
0	41
0	40
0	8
0	0
0	0
0	4
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
38	876
0	707
0	783
12	302
1	218
1	213
0	102
329	0
0	0
0	0
0	0
0	0
0	0
0	0
5	296
0	299
6	302
0	184
0	168
0	158
1	139
0	22
0	115
0	102
0	12
0	23
0	23
1	17
0	12
1	0
0	0
0	8
0	9
4	0
1	0
0	0
0	2
0	1
0	2
0	2
0	0
0	2
0	0
0	0
3	152
2	129
0	84
0	80
0	0
0	4
0	10
1	0
0	18
0	6
1	0
0	0
0	0
0	0
8	10
0	2
1	4
0	8
0	6
0	86
0	178
0	178
0	130
0	63
0	195
0	20
0	143
0	132
6	96
3	42
1	119
0	178
1	132
0	112
0	149
0	160
0	32
0	9
0	14
0	120
0	23
0	24
0	21
0	9
0	19
0	36
0	2
3	9
0	56
0	17
0	19
0	40
2	31
0	31
0	1
0	0
0	12
0	44
0	23
7	15
0	20
0	16
0	13
0	8
0	5
0	6
0	1
0	0
0	0
0	0
1	0
0	37
121	41
2	6
1	0
1	189
6	199
0	131
0	28
0	23
0	14
0	4
1	11
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
17	504
89	466
13	464
41	475
5	8
2	28
0	0
5	95
0	115
2	74
10	143
10	182
0	119
0	81
0	172
0	160
0	52
5	89
0	10
0	10
0	7
0	5
0	46
2	2
0	12
0	0
0	0
1	18
2	99
11	110
0	4
0	4
0	100
14	104
0	30
199	455
0	217
11	356
3	9
0	147
1	49
0	0
23	41
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	6
3	9
0	3
0	10
0	1
0	0
2	129
3	127
0	12
0	62
2	26
9	310
1	301
0	311
0	311
1	3
0	18
0	12
0	0
0	0
1	0
235	588
2	493
0	95
99	25
8	36
0	0
144	0
189	0
1	74
0	82
0	68
0	83
1	69
0	74
0	75
1	3
0	3
0	78
0	7
0	59
0	2
0	2
0	6
0	82
0	46
0	4
0	58
0	43
1	3
0	3
0	48
0	5
1	0
0	0
1	2
0	10
0	13
0	9
0	6
0	7
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
16	191
3	172
0	147
0	162
0	160
0	137
0	137
0	137
0	26
4	0
0	15
0	290
1	292
6	83
1	30
0	0
0	0
0	0
0	107
0	27
0	81
0	86
0	54
0	102
0	81
0	97
0	96
0	76
0	4
0	4
0	3
0	0
0	15
0	0
0	8
0	16
0	21
0	6
0	0
0	0
0	0
7	80
0	0
0	0
0	0
0	0
0	8
0	4
0	9
4	769
0	726
0	631
0	398
0	2
0	131
0	30
0	17
3	98
0	27
0	11
0	69
1	93
0	93
0	93
0	46
0	0
7	2722
0	2387
24	2782
2	179
0	587
2	180
0	329
1	145
0	2
0	16
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	18
0	0
0	0
0	1
0	1
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	0
0	12
0	0
0	1
0	0
0	1
0	0
0	0
9	101
0	6
0	1
0	5
0	5
0	0
0	93
1	4
0	77
0	8
0	17
0	9
0	17
0	9
0	17
0	20
0	10
0	6
0	4
0	11
0	0
0	80
0	12
0	44
0	62
0	0
0	8
12	0
1	0
0	78
0	75
4	154
0	171
2	89
14	86
1	84
3	174
0	120
0	120
9	121
0	36
0	111
0	0
0	0
0	0
183	6
0	0
0	1
0	5
1	13
0	8
0	13
0	0
2	1
0	0
3	3
0	5
9	1
0	2
0	0
0	0
1	0
0	0
0	0
8	774
0	67
25	1223
0	375
0	8
13	826
0	296
22	627
1	110
16	217
6	249
0	194
1	31
0	6
1	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	87
0	76
0	52
0	11
0	1
0	0
0	0
0	4
0	19
1	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	2
0	0
0	0
0	0
0	1
0	2
0	0
0	0
0	0
0	0
0	0
0	0
2	21
0	23
0	161
1	159
1	177
0	163
0	39
0	174
0	40
0	9
0	6
0	9
0	163
0	4
0	150
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	1
0	8
0	2
2	8
0	4
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
1	12
0	12
0	12
0	1
0	0
0	1
0	7
0	0
0	0
0	0
0	0
0	0
0	0
