chrom,chromStart,chromEnd,symbol,cell,rep,score,strand
chr1,89672849,89672859,LRRC8C,MOLM2,A,400,+
chr1,43978038,43978054,ATP6V0B,MOLM2,A,400,+
chr1,89672859,89672921,LRRC8C,MOLM2,A,400,+
chr1,43978007,43978038,ATP6V0B,MOLM2,A,400,+
chr1,43978054,43978196,ATP6V0B,MOLM2,A,400,+
chr1,228098190,228098252,ARF1,MOLM2,A,400,+
chr1,206706174,206706201,MAPKAPK2,MOLM2,A,275.058252254227,+
chr1,171492774,171492802,PRRC2C,MOLM2,A,247.577927978366,+
chr1,206706143,206706174,MAPKAPK2,MOLM2,A,235.507612202711,+
chr1,171492802,171492825,PRRC2C,MOLM2,A,234.419939914402,+
chr1,171492755,171492774,PRRC2C,MOLM2,A,225.270874590286,+
chr1,211284525,211284601,RCOR3,MOLM2,A,190.765515618831,+
chr1,206706201,206706252,MAPKAPK2,MOLM2,A,154.10429945083,+
chr1,35371045,35371156,ZMYM4,MOLM2,A,140.104209233347,+
chr1,154420532,154420604,IL6R,MOLM2,A,130.569091840545,+
chr1,27307766,27307966,WDTC1,MOLM2,A,120.445794405099,+
chr1,21449479,21449542,NBPF3,MOLM2,A,106.127638170988,+
chr1,26853914,26854050,ZDHHC18,MOLM2,A,99.7993962556363,+
chr1,86919008,86919031,HS2ST1,MOLM2,A,93.589539959564,+
chr1,86918989,86919008,HS2ST1,MOLM2,A,93.589539959564,+
chr1,235396978,235397010,TBCE,MOLM2,A,93.3295734140991,+
chr1,235397010,235397049,TBCE,MOLM2,A,90.0941010341339,+
chr1,25719450,25719502,MAN1C1,MOLM2,A,89.398602813274,+
chr1,44805875,44805980,PLK3,MOLM2,A,84.6684990112742,+
chr1,246629011,246629096,CNST,MOLM2,A,84.2901775981274,+
chr1,25719436,25719450,MAN1C1,MOLM2,A,82.6803525037813,+
chr1,116398964,116399079,ATP1A1,MOLM2,A,81.6675211424766,+
chr1,52879765,52879841,ZYG11A,MOLM2,A,79.4447608913385,+
chr1,32112484,32112565,KPNA6,MOLM2,A,79.3786933455527,+
chr1,26780770,26780925,ARID1A,MOLM2,A,77.3334913793408,+
chr1,47344944,47344995,CMPK1,MOLM2,A,73.8064471646369,+
chr1,156215556,156215642,PMF1-BGLAP|PMF1,MOLM2,A,73.7681979345772,+
chr1,89639003,89639052,LRRC8C,MOLM2,A,73.0887784507674,+
chr1,89638984,89639003,LRRC8C,MOLM2,A,69.7729106617709,+
chr1,77784238,77784312,MIGA1,MOLM2,A,68.1246264464179,+
chr1,212306760,212306838,PPP2R5A,MOLM2,A,67.5856618544176,+
chr1,45552183,45552267,AKR1A1,MOLM2,A,67.4446803573582,+
chr1,15899854,15899872,SPEN,MOLM2,A,65.179237802082,+
chr1,224360959,224361072,CNIH4,MOLM2,A,65.1616673342647,+
chr1,86919031,86919058,HS2ST1,MOLM2,A,64.9244278575566,+
chr1,15899872,15899925,SPEN,MOLM2,A,64.9127060176567,+
chr1,171545721,171545828,PRRC2C,MOLM2,A,64.0085209106977,+
chr1,193129513,193129582,CDC73,MOLM2,A,63.5517071521036,+
chr1,965299,965356,KLHL17,MOLM2,A,62.6332517706403,+
chr1,965356,965383,KLHL17,MOLM2,A,62.3576091874677,+
chr1,198729266,198729311,PTPRC,MOLM2,A,61.1318637306362,+
chr1,28691836,28691895,GMEB1,MOLM2,A,60.8685917981453,+
chr1,171497464,171497544,PRRC2C,MOLM2,A,60.0179589135281,+
chr1,89672803,89672820,LRRC8C,MOLM2,A,58.2063418788154,+
chr1,207360369,207360451,CD55,MOLM2,A,57.3253792108876,+
chr1,150386138,150386204,RPRD2,MOLM2,A,56.0917923747604,+
chr1,47344899,47344944,CMPK1,MOLM2,A,56.0118737695635,+
chr1,2257732,2257803,SKI,MOLM2,A,55.4976501858505,+
chr1,178161989,178162048,RASAL2,MOLM2,A,53.3795458913393,+
chr1,32025968,32026047,KHDRBS1,MOLM2,A,53.2839469658971,+
chr1,32323406,32323463,HDAC1,MOLM2,A,52.3314591256096,+
chr1,15575784,15575803,DNAJC16,MOLM2,A,51.9857294415061,+
chr1,15869604,15869694,SPEN,MOLM2,A,51.8117331595476,+
chr1,228098045,228098140,ARF1,MOLM2,A,51.4402728725824,+
chr1,28670190,28670248,GMEB1,MOLM2,A,51.0228377744217,+
chr1,178161976,178161989,RASAL2,MOLM2,A,50.4890146187025,+
chr1,15575763,15575784,DNAJC16,MOLM2,A,49.5636396587529,+
chr1,201967552,201967624,TIMM17A,MOLM2,A,47.9378879095463,+
chr1,183492970,183493046,SMG7,MOLM2,A,47.6048230579069,+
chr1,206454632,206454797,SRGAP2,MOLM2,A,46.4861239972667,+
chr1,32025950,32025968,KHDRBS1,MOLM2,A,45.8205432929687,+
chr1,228098140,228098190,ARF1,MOLM2,A,45.5679290727359,+
chr1,145659193,145659231,GPR89A,MOLM2,A,45.4542333437563,+
chr1,28670174,28670190,GMEB1,MOLM2,A,44.5807234707041,+
chr1,35566343,35566476,NCDN,MOLM2,A,43.6798537138889,+
chr1,100011728,100011799,SLC35A3|AC118553.2,MOLM2,A,43.2642247837977,+
chr1,198729233,198729266,PTPRC,MOLM2,A,42.3248085354782,+
chr1,36288136,36288226,THRAP3,MOLM2,A,39.5901339693643,+
chr1,39302024,39302071,MACF1,MOLM2,A,39.5129306644425,+
chr1,198729311,198729320,PTPRC,MOLM2,A,39.5129306644425,+
chr1,15575803,15575836,DNAJC16,MOLM2,A,39.3258354824595,+
chr1,89837210,89837328,LRRC8D,MOLM2,A,39.1992241035368,+
chr1,100394061,100394191,CDC14A,MOLM2,A,38.7408738725321,+
chr1,39302002,39302024,MACF1,MOLM2,A,38.7408738725321,+
chr1,224161199,224161243,FBXO28,MOLM2,A,38.2880093940482,+
chr1,29080126,29080192,EPB41,MOLM2,A,38.2210873030937,+
chr1,1477708,1477785,ATAD3B,MOLM2,A,38.0260775142944,+
chr1,224161156,224161199,FBXO28,MOLM2,A,36.6255693365395,+
chr1,162524089,162524201,UHMK1,MOLM2,A,36.3475505843418,+
chr1,167226758,167226888,POU2F1,MOLM2,A,36.078090765181,+
chr1,155184668,155184772,TRIM46,MOLM2,A,34.8428603795872,+
chr1,28238003,28238094,ATP5IF1,MOLM2,A,34.5233422399688,+
chr1,28444966,28445028,PHACTR4,MOLM2,A,34.4845403900085,+
chr1,19618299,19618379,MINOS1|NBL1,MOLM2,A,33.7062479705298,+
chr1,206706252,206706309,MAPKAPK2,MOLM2,A,33.468710042159,+
chr1,246597980,246598073,CNST,MOLM2,A,33.2056421915015,+
chr1,19598918,19598952,NBL1|MINOS1,MOLM2,A,32.8659842682224,+
chr1,31316053,31316177,ZCCHC17,MOLM2,A,32.4073627570203,+
chr1,9728649,9728708,PIK3CD,MOLM2,A,31.6362376411306,+
chr1,87345168,87345304,LMO4,MOLM2,A,31.6128060063031,+
chr1,180015261,180015295,CEP350,MOLM2,A,31.5923570908822,+
chr1,180015237,180015261,CEP350,MOLM2,A,31.5923570908822,+
chr1,32845023,32845103,S100PBP,MOLM2,A,31.5601015128049,+
chr1,965383,965405,KLHL17,MOLM2,A,31.1493766133505,+
chr1,9728708,9728756,PIK3CD,MOLM2,A,30.2685804734263,+
chr1,28939454,28939535,EPB41,MOLM2,A,30.2155851400459,+
chr1,77838361,77838431,MIGA1,MOLM2,A,29.9808035075474,+
chr1,107505231,107505255,AC114491.1,MOLM2,A,29.4396003777112,+
chr1,120949956,120950035,LINC00623,MOLM2,A,29.202064976202,+
chr1,33487822,33487895,ZSCAN20,MOLM2,A,29.1790365331092,+
chr1,32841335,32841436,S100PBP,MOLM2,A,28.9792741956186,+
chr1,28917229,28917331,EPB41,MOLM2,A,28.9173122671863,+
chr1,107505255,107505280,AC114491.1,MOLM2,A,28.6542899440229,+
chr1,39004450,39004509,AKIRIN1,MOLM2,A,28.5329468436206,+
chr1,154229122,154229202,UBAP2L,MOLM2,A,28.3898253897451,+
chr1,206706309,206706395,MAPKAPK2,MOLM2,A,28.1426531479606,+
chr1,119187738,119187791,AL359915.2,MOLM2,A,27.7169311357562,+
chr1,24469168,24469260,NIPAL3,MOLM2,A,27.6016156748587,+
chr1,150474970,150475067,RPRD2,MOLM2,A,27.4652241770747,+
chr1,119187717,119187738,AL359915.2,MOLM2,A,27.3279077786888,+
chr1,206706021,206706077,MAPKAPK2,MOLM2,A,27.0407957539235,+
chr1,35970677,35970805,AGO3,MOLM2,A,26.7647279129846,+
chr1,66753605,66753704,TCTEX1D1,MOLM2,A,26.4934129870292,+
chr1,52893459,52893543,ZYG11A,MOLM2,A,26.4496474931719,+
chr1,201851018,201851049,IPO9,MOLM2,A,25.2323318943965,+
chr1,27808333,27808405,STX12,MOLM2,A,25.1553164125751,+
chr1,183504373,183504415,SMG7,MOLM2,A,24.8958879368576,+
chr1,183504348,183504373,SMG7,MOLM2,A,24.8958879368576,+
chr1,39004374,39004450,AKIRIN1,MOLM2,A,24.6529823986751,+
chr1,24758814,24758888,CLIC4,MOLM2,A,24.3736720558836,+
chr1,28920666,28920715,EPB41,MOLM2,A,24.1842789050317,+
chr1,179045129,179045183,FAM20B,MOLM2,A,24.1106145847937,+
chr1,201851049,201851104,IPO9,MOLM2,A,23.9180786938246,+
chr1,28920644,28920666,EPB41,MOLM2,A,23.3798625911127,+
chr1,202362788,202362906,PPP1R12B,MOLM2,A,23.3119442301582,+
chr1,13746562,13746678,PRDM2,MOLM2,A,23.3119442301582,+
chr1,113082596,113082705,LRIG2,MOLM2,A,23.3119442301582,+
chr1,28674424,28674476,GMEB1,MOLM2,A,23.3119442301582,+
chr1,32155735,32155810,KPNA6,MOLM2,A,22.8333653688889,+
chr1,182886202,182886267,DHX9,MOLM2,A,22.7910724844523,+
chr1,47340068,47340141,CMPK1,MOLM2,A,22.5568973006934,+
chr1,9727155,9727319,PIK3CD,MOLM2,A,22.2488441176041,+
chr1,40398241,40398254,SMAP2,MOLM2,A,21.7875090283155,+
chr1,110377823,110377852,LAMTOR5-AS1,MOLM2,A,21.3945371062659,+
chr1,28674407,28674424,GMEB1,MOLM2,A,21.3773596656254,+
chr1,32185320,32185436,TXLNA,MOLM2,A,21.2761185341038,+
chr1,23078996,23079114,KDM1A,MOLM2,A,21.2705193273628,+
chr1,113973558,113973622,HIPK1,MOLM2,A,21.2086111466516,+
chr1,40398254,40398310,SMAP2,MOLM2,A,21.0187609443304,+
chr1,179045183,179045225,FAM20B,MOLM2,A,21.0187609443304,+
chr1,103546923,103546984,RNPC3,MOLM2,A,20.9905899009024,+
chr1,19598952,19598990,NBL1|MINOS1,MOLM2,A,20.9905495291472,+
chr1,32173665,32173718,KPNA6,MOLM2,A,20.7587275300983,+
chr1,38024208,38024300,UTP11,MOLM2,A,20.684155555249,+
chr1,110377852,110377901,LAMTOR5-AS1,MOLM2,A,20.6221162881739,+
chr1,117959820,117959883,WDR3,MOLM2,A,19.9255997748303,+
chr1,19624281,19624353,MINOS1|NBL1,MOLM2,A,19.8405028890234,+
chr1,965418,965484,KLHL17,MOLM2,A,19.8405028890234,+
chr1,198729320,198729353,PTPRC,MOLM2,A,19.7104498414076,+
chr1,183553193,183553285,SMG7,MOLM2,A,19.4018419230704,+
chr1,198184860,198184956,NEK7,MOLM2,A,19.3817052103807,+
chr1,11936533,11936549,PLOD1,MOLM2,A,19.152564992072,+
chr1,28371298,28371364,PHACTR4,MOLM2,A,19.0461777048093,+
chr1,11936549,11936594,PLOD1,MOLM2,A,18.9024605426382,+
chr1,206705830,206705899,MAPKAPK2,MOLM2,A,18.7410453721222,+
chr1,965405,965418,KLHL17,MOLM2,A,18.6315777330395,+
chr1,89698311,89698425,LRRC8C,MOLM2,A,18.5826944167555,+
chr1,180037630,180037726,CEP350,MOLM2,A,18.399356487537,+
chr1,32845357,32845393,S100PBP,MOLM2,A,18.399356487537,+
chr1,39485809,39485908,MACF1,MOLM2,A,18.2256688352639,+
chr1,40294003,40294072,ZMPSTE24,MOLM2,A,18.0989483184207,+
chr1,224118051,224118106,FBXO28,MOLM2,A,18.0989483184207,+
chr1,36039769,36039841,AGO3,MOLM2,A,18.0800594603645,+
chr1,99997565,99997650,AC118553.2|SLC35A3,MOLM2,A,17.9612658159507,+
chr1,26781722,26781796,ARID1A,MOLM2,A,17.8802493761154,+
chr1,43883143,43883209,ST3GAL3,MOLM2,A,17.7061294080471,+
chr1,52878879,52878923,ZYG11A,MOLM2,A,17.6847660615008,+
chr1,52878923,52878952,ZYG11A,MOLM2,A,17.6847660615008,+
